species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Lycopodium clavatum,LYCOPODIACEAE,Lycopodium,clavatum,Stagshorn Clubmoss,native,L.,Vas_1215,,"
Circumpolar Boreo-arctic Montane element.

Nationally it is found in dwarf shrub heaths (BH10) in upland areas of the British Isles and occasionally in lowland areas.
Rare (10). In northern Lancashire it favours acid stony places with open communities or open acid grasslands. It was found on Longridge Fell and scattered throughout Bowland and the Lune valley uplands. Formerly, although always rare, it seems to have occurred more widely with localities in Leck, on Warton Crag, Grindleton and in Whitendale. However there is evidence that individual colonies may only be present for a few years. The ‘New Atlas’ suggests that populations tend to be transient nationally and that losses are mostly in lowland areas pre 1930. ‘Local Change’ suggests that there has been little change in recent years.

",Circumboreal (Boreo?temperate)
Selaginella selaginoides,SELAGINELLACEAE,Selaginella,selaginoides,Lesser Clubmoss,native,(L.) P.Beauv.,Vas_1888,,"
Circumpolar Boreal-montane element.
Nationally it occurs in calcareous grassland (BH7), fens, marshes and swamps including flushes (BH11) in upland areas in much of the British Isles.
Rare (6). In northern Lancashire Lesser Clubmoss is confined to calcareous flushes in Leck and Ireby and on shell marl, Hawes Water, Silverdale. Former records were from the same areas, where it is found today, but additionally it was found on the Lytham St Anne’s sand dunes, near Damas Gill Head, Quernmore and in the gorge of the R. Greta. It has not been recorded from VC 64. The ‘New Atlas’ suggests losses occurred nationally before 1930 and ‘Local Change’ confirms that there has been no recent decline although many calcareous grassland (BH7) species showed a significant decrease since 1987.

",Arctic–Alpine / Circumboreal
Equisetum arvense,EQUISETACEAE,Equisetum,arvense,Field Horsetail,native,L.,Vas_712,,"
Circumpolar Wide-boreal element.
This occurs throughout British Isles in a wide variety of habitats especially roadside verges, grasslands and disturbed places generally (BH3, 4).
Very common (413). Field Horsetail occurs in most of northern Lancashire but it is not found in wet places or in the upland heaths and mires of Bowland. There is no evidence for spread or decline of this species in northern Lancashire or nationally.

",Circumboreal (Boreo?temperate)
Equisetum arvense x fluviatile = E. x litorale,EQUISETACEAE,Equisetum,arvense x fluviatile = E. x litorale,Shore Horsetail,native,Kühlew. ex Rupr.,Vas_715,,Text,Circumboreal hybrid (Boreo?temperate wetland)
Equisetum fluviatile,EQUISETACEAE,Equisetum,fluviatile,Water Horsetail,native,L.,Vas_713,,"
Circumpolar Boreo-temperate element.
This is found in a variety of fens, marshes and swamps (BH 11) throughout the British Isles.
Frequent (224). It occurs throughout northern Lancashire but it does not occur on peat bogs. There is no evidence of any change in frequency in northern Lancashire and this is reflected nationally for most of the country.

Equisetum fluviatile x E. arvense (E. x litorale Kühlew. Ex Rupr.)
",Circumboreal (Boreal wetland)
Equisetum fluviatile x telmateia = E. x willmotii,EQUISETACEAE,Equisetum,fluviatile x telmateia = E. x willmotii,Willmot's Horsetail,native,C.N.Page,Vas_3432,Nationally rare,Text,Eurosiberian–Temperate wetland hybrid
Equisetum palustre,EQUISETACEAE,Equisetum,palustre,Marsh Horsetail,native,L.,Vas_717,,"
Circumpolar Boreo-temperate element.
Marsh Horsetail is found throughout the British Isles in fens, marshes and swamps (BH11).
Common (261). It is found in most of northern Lancashire where there is no evidence for spread or decline but the most recent national survey (‘Local Change’) reports a significant decrease.

Equisetum palustre x E. telmateia (E. x fontqueri Rothm.)

This hybrid is found in scattered localities in western Britain.
Very rare (3). All three localities in northern Lancashire, in an abandoned brick pit at Preston (SD53A), where it was first seen in 2003, in a flush on Marshaw Fell (SD55B) and in a marshy area by the R. Dunsop (SD65K), were discovered by P.J.

",Circumboreal (Boreo?temperate)
Equisetum palustre var. polystachyum,EQUISETACEAE,Equisetum,palustre var. polystachyum,Many-spiked Marsh Horsetail,native,A.Braun ex Engelm.,IPNI id: 92999-2,,Text,Circumboreal (Boreo?temperate)
Equisetum sylvaticum,EQUISETACEAE,Equisetum,sylvaticum,Wood Horsetail,native,L.,Vas_720,,"
Circumpolar Boreo-temperate element.
Wood Horsetail favours damp places in ancient woodland (BH1) or in more open areas by streams where it is probably a relic of a former woodland flora. It is found in the north and west of the British Isles.
Frequent (91). This woodland species is found in the east of northern Lancashire where populations appear stable but decline in British lowlands was noted in 1962 and since (New Atlas).

",Circumboreal (Boreal forest)
Equisetum telmateia,EQUISETACEAE,Equisetum,telmateia,Great Horsetail,native,Ehrh.,Vas_721,,"
European Southern-temperate element. .
Great Horsetail occurs in fens, marshes and swamps (BH11) rather than woodland in many parts of the British Isles although it is absent from parts of northern and eastern Scotland.
Frequent (86). Typically this is found in wet ancient woodlands (BH1) in Bowland especially in the Ribble and Hodder river valleys, perhaps reflecting its more southerly distribution in Britain and Europe. However it can also be found in non-wooded and flushed areas by streams or on roadsides. There is no evidence for a change in its distribution in northern Lancashire or nationally


Equisetum arvense x E. telmateia (E. x robertsii T.D. Dines)

This hybrid was first described from Anglesey (Dines and Bonner, 2002).
Very rare (3). In northern Lancashire this hybrid was first found by the Lancaster Canal at Cabus (SD44Y) in 2001 and probably further south by the canal at Catterall (SD54B) in 2003. It was also found in a hedge bottom on the boundary between Middleton and Overton (SD45J) in 2002. All records E.F.G. As this hybrid has been overlooked for so long it would be surprising if more colonies were not discovered in due course.

Equisetum hybrids

Many horsetail hybrids have only been described relatively recently. They are often difficult to distinguish from their parents with which they may or may not occur. Most are thought to be rare but in recent years, as the ability to recognise them improves, they are proving to be more widespread and perhaps more frequent that at first thought. However once a hybrid has arisen colonies are likely to be long-lived although for hybrids to form the parents must be in close contact with each other. This implies that at formation there was considerable habitat disturbance even if this was hundreds of years ago (C.N. Page pers. comm.). This is probably the case for colonies of E. x robertsii on the Lancaster Canal, which was built in 1795 and for E. x willmotii at Chipping where the colony is found in a roadside ditch adjoining what was a major military encampment at the end of the 19th century (Mrs M. Lord, pers. comm.). Thus, even though habitats for Equisetum hybrids today may appear stable their presence probably reflects major disturbance at some time in the past.
  





",Eurosiberian–Atlantic (Temperate)
Botrychium lunaria,OPHIOGLOSSACEAE,Botrychium,lunaria,Moonwort,native,(L.) Sw.,Vas_248,,"
Circumpolar Boreo-temperate element.
This is found in calcareous pastures and sand dunes (BH7, 19) in much of the British Isles but it is rare in most of Ireland and south-eastern England.
Rare (13). In northern Lancashire Moonwort is found mostly in the Silverdale and Warton areas but also in Bowland and Lytham St Anne’s. Since 2000 the only records have been from Warton Crag (SD47W) and Little Bowland (SD64N). There are no recent records from Lancashire VC64. Although always rare it was formerly more widespread in Bowland including three localities near Newton-in-Bowland in VC64. Despite it having declined over the last 100 years the appearance of individual colonies was always erratic. The ‘New Atlas’ reports losses nationally since 1962 and ‘Local Change’ suggests further losses since 1987 may be continuing.

CALAMOPHYTES
Horsetails

",Circumboreal / Arctic–Alpine
Ophioglossum vulgatum,OPHIOGLOSSACEAE,Ophioglossum,vulgatum,Adder's Tongue,native,L.,Vas_1381.2,,"
Circumpolar Temperate element.
It occurs in dune slacks, neutral and calcareous grasslands (BH19, 6, 7) in most of the British Isles although it is rare in northern and eastern Scotland.
Occasional (69). In northern Lancashire Adder’s-tongue is found scattered throughout the area. However there is qualitative evidence suggesting that during the last twenty years or so this species has declined markedly and by 2000 may have become rare. Its former habitats were usually in short turf at the margins of fields and on roadside verges and in many of these habitats it appears that eutrophication has caused much lusher and taller vegetation to develop (Greenwood, 2003). The ‘New Atlas’ confirms that a decline took place in lowland areas between 1962 and 2000 but ‘Local Change’ did not observe any further significant decline.

",Eurosiberian–Temperate
Osmunda regalis,OSMUNDACEAE,Osmunda,regalis,Royal Fern,native,L.,Vas_1411,,"
Suboceanic Southern-temperate element.
Royal Fern is found mostly in the west of the British Isles in neutral or acid habitats varying from fens and mires to woodlands (BH1, 11).
Rare (12). Formerly it was confined to the edges of lowland raised bogs (mosses), heaths, coastal sandstone cliffs and wet ancient woodlands. By 1907 Wheldon and Wilson (1907) thought it almost extinct but in recent years it has colonized railway cuttings and the walls of Lancaster Castle. In Lancashire VC 64 it was planted in the grounds of Browsholme Hall. In general after suffering greatly from collecting in the 19th century there may be signs of recovery although it seems to have gone recently from the dune heath at Lytham St Anne’s. These recent changes are reflected nationally in the ‘New Atlas’ although ‘Local Change’ suggests further losses may still be occurring in its woodland and wetland habitats.

",Atlantic–Subtropical / Temperate
Adiantum capillus-veneris,PTERIDACEAE,Adiantum,capillus-veneris,Maidenhair Fern,native,L.,Vas_17,,Text,Sub?Mediterranean–Subtropical
